model,param,value,records,tp,fp,fn,mean_f1,mean_precision,mean_recall,mean_threshold_updates,pooled_precision,pooled_recall,pooled_f1
INT8,admit_ceil,0.9,22,3266,891,1790,0.4983158561375199,0.49753589134084586,0.6595274149103072,218.5909090909091,0.7856627375511186,0.6459651898734177,0.7089981547812872
INT8,admit_ceil,0.85,22,3301,1018,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7642972910395925,0.6528876582278481,0.7042133333333334
INT8,buffer_size,300.0,22,3304,1012,1752,0.4975696112746292,0.49081022558427806,0.6685551957033747,218.5909090909091,0.7655236329935126,0.6534810126582279,0.7050789586000853
INT8,buffer_size,200.0,22,3300,1014,1756,0.4976053894162973,0.4912961953294149,0.6671389623264804,218.5909090909091,0.7649513212795549,0.6526898734177216,0.7043756670224119
INT8,buffer_size,150.0,22,3301,1018,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7642972910395925,0.6528876582278481,0.7042133333333334
INT8,ceil,0.99,22,3301,1005,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7666047375754761,0.6528876582278481,0.7051911984618671
INT8,ceil,0.95,22,3301,1018,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7642972910395925,0.6528876582278481,0.7042133333333334
INT8,ceil,0.9,22,3304,1152,1752,0.4977903009397639,0.49123275854432397,0.667316259304921,218.5909090909091,0.7414721723518851,0.6534810126582279,0.6947014297729184
INT8,floor,0.6,22,3272,886,1784,0.5367703261303902,0.5359122706000735,0.6556958014566093,218.5909090909091,0.7869167869167869,0.6471518987341772,0.7102235728239635
INT8,floor,0.5,22,3291,967,1765,0.5056242176955963,0.49953489641591065,0.6626103348658675,218.5909090909091,0.7728980742132456,0.6509098101265823,0.7066781189607043
INT8,floor,0.4,22,3301,1018,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7642972910395925,0.6528876582278481,0.7042133333333334
INT8,margin,0.3,22,3199,710,1857,0.5042030789696978,0.5134293109420927,0.6505841618567441,218.5909090909091,0.8183678690202097,0.6327136075949367,0.7136642498605689
INT8,margin,0.25,22,3219,783,1837,0.5022714925785137,0.5070177296195268,0.6559710228736345,218.5909090909091,0.8043478260869565,0.6366693037974683,0.7107529255906381
INT8,margin,0.2,22,3261,872,1795,0.5011553809739827,0.5015452610201107,0.6616185613331858,218.5909090909091,0.7890152431647713,0.6449762658227848,0.7097616715638262
INT8,update_freq,1.0,22,3300,1010,1756,0.4991588902278357,0.4928834104026593,0.6678484316071986,2189.2727272727275,0.765661252900232,0.6526898734177216,0.7046764894298526
INT8,update_freq,5.0,22,3300,1014,1756,0.49804515821624357,0.49171100161007325,0.6667726745662444,437.59090909090907,0.7649513212795549,0.6526898734177216,0.7043756670224119
INT8,update_freq,10.0,22,3301,1018,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7642972910395925,0.6528876582278481,0.7042133333333334
INT8,warmup_length,50.0,22,3301,1018,1755,0.4977913603415674,0.49143733408147644,0.6669901604296634,218.5909090909091,0.7642972910395925,0.6528876582278481,0.7042133333333334
INT8,warmup_length,20.0,22,3303,1023,1753,0.4978259331090165,0.49120074479311276,0.6676846718011397,220.4090909090909,0.7635228848821082,0.6532832278481012,0.7041142613515241
INT8,warmup_length,30.0,22,3303,1023,1753,0.4978259331090165,0.49120074479311276,0.6676846718011397,220.4090909090909,0.7635228848821082,0.6532832278481012,0.7041142613515241
