param,value,model,record,f1,precision,recall,tp,fp,fn,threshold_updates
margin,0.3,Float32,117,0.0,0.0,0.0,0,36,1,148
margin,0.3,Float32,121,0.08333333333333334,0.045454545454545456,0.5,1,21,1,181
margin,0.3,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.3,Float32,200,0.978067575577949,0.9915865384615384,0.9649122807017544,825,7,30,254
margin,0.3,Float32,202,0.7114093959731544,0.7066666666666667,0.7162162162162162,53,22,21,208
margin,0.3,Float32,210,0.8705357142857143,0.8441558441558441,0.8986175115207373,195,36,22,258
margin,0.3,Float32,212,0.0,0.0,0.0,0,0,0,269
margin,0.3,Float32,213,0.9777777777777779,0.979757085020243,0.9758064516129032,242,5,6,283
margin,0.3,Float32,214,0.9111531190926275,0.8827838827838828,0.94140625,241,32,15,220
margin,0.3,Float32,219,0.29523809523809524,0.17765042979942694,0.8732394366197183,62,287,9,210
margin,0.3,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
margin,0.3,Float32,222,0.4627659574468085,0.5209580838323353,0.41626794258373206,87,80,122,243
margin,0.3,Float32,228,0.9782016348773842,0.9728997289972899,0.9835616438356164,359,10,6,200
margin,0.3,Float32,231,0.18181818181818182,0.10526315789473684,0.6666666666666666,2,17,1,151
margin,0.3,Float32,232,0.023448275862068966,0.25,0.012301013024602027,17,51,1365,173
margin,0.3,Float32,233,0.87248322147651,0.9954058192955589,0.7765830346475507,650,3,187,301
margin,0.3,Float32,234,0.28125,0.8181818181818182,0.16981132075471697,9,2,44,270
margin,0.05,INT8,100,0.955223880597015,0.9696969696969697,0.9411764705882353,32,1,2,222
margin,0.05,INT8,103,0.0,0.0,0.0,0,0,2,203
margin,0.05,INT8,105,0.435374149659864,0.3018867924528302,0.7804878048780488,32,74,9,251
margin,0.05,INT8,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.05,INT8,113,0.25641025641025644,0.15151515151515152,0.8333333333333334,5,28,1,174
margin,0.05,INT8,117,0.0,0.0,0.0,0,253,1,148
margin,0.05,INT8,121,0.07407407407407407,0.04,0.5,1,24,1,181
margin,0.05,INT8,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.05,INT8,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.05,INT8,202,0.7006369426751592,0.6626506024096386,0.7432432432432432,55,28,19,208
margin,0.05,INT8,210,0.86784140969163,0.8312236286919831,0.9078341013824884,197,40,20,258
margin,0.05,INT8,212,0.0,0.0,0.0,0,0,0,269
margin,0.05,INT8,213,0.8611599297012303,0.7632398753894081,0.9879032258064516,245,76,3,283
margin,0.05,INT8,214,0.7591463414634148,0.6225,0.97265625,249,151,7,220
margin,0.05,INT8,219,0.24803149606299213,0.14416475972540047,0.8873239436619719,63,374,8,210
margin,0.05,INT8,221,0.9826302729528535,0.9658536585365853,1.0,396,14,0,237
margin,0.05,INT8,222,0.4957555178268251,0.38421052631578945,0.6985645933014354,146,234,63,243
margin,0.05,INT8,228,0.9702702702702702,0.9573333333333334,0.9835616438356164,359,16,6,200
margin,0.05,INT8,231,0.16666666666666666,0.09523809523809523,0.6666666666666666,2,19,1,151
margin,0.05,INT8,232,0.05259697567389875,0.28776978417266186,0.02894356005788712,40,99,1342,173
margin,0.05,INT8,233,0.8844720496894408,0.9210866752910737,0.8506571087216248,712,61,125,301
margin,0.05,INT8,234,0.28125,0.8181818181818182,0.16981132075471697,9,2,44,270
margin,0.1,INT8,100,0.955223880597015,0.9696969696969697,0.9411764705882353,32,1,2,222
margin,0.1,INT8,103,0.0,0.0,0.0,0,0,2,203
margin,0.1,INT8,105,0.43661971830985913,0.3069306930693069,0.7560975609756098,31,70,10,251
margin,0.1,INT8,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.1,INT8,113,0.25641025641025644,0.15151515151515152,0.8333333333333334,5,28,1,174
margin,0.1,INT8,117,0.0,0.0,0.0,0,89,1,148
margin,0.1,INT8,121,0.07407407407407407,0.04,0.5,1,24,1,181
margin,0.1,INT8,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.1,INT8,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.1,INT8,202,0.7051282051282052,0.6707317073170732,0.7432432432432432,55,27,19,208
margin,0.1,INT8,210,0.86784140969163,0.8312236286919831,0.9078341013824884,197,40,20,258
margin,0.1,INT8,212,0.0,0.0,0.0,0,0,0,269
margin,0.1,INT8,213,0.9070631970260223,0.8413793103448276,0.9838709677419355,244,46,4,283
margin,0.1,INT8,214,0.7923322683706071,0.6702702702702703,0.96875,248,122,8,220
margin,0.1,INT8,219,0.25609756097560976,0.1496437054631829,0.8873239436619719,63,358,8,210
margin,0.1,INT8,221,0.9826302729528535,0.9658536585365853,1.0,396,14,0,237
margin,0.1,INT8,222,0.4999999999999999,0.4059701492537313,0.6507177033492823,136,199,73,243
margin,0.1,INT8,228,0.9702702702702702,0.9573333333333334,0.9835616438356164,359,16,6,200
margin,0.1,INT8,231,0.16666666666666666,0.09523809523809523,0.6666666666666666,2,19,1,151
margin,0.1,INT8,232,0.03861517976031957,0.24166666666666667,0.020984081041968163,29,91,1353,173
margin,0.1,INT8,233,0.8933753943217666,0.946524064171123,0.8458781362007168,708,40,129,301
margin,0.1,INT8,234,0.28125,0.8181818181818182,0.16981132075471697,9,2,44,270
margin,0.15,INT8,100,0.955223880597015,0.9696969696969697,0.9411764705882353,32,1,2,222
margin,0.15,INT8,103,0.0,0.0,0.0,0,0,2,203
margin,0.15,INT8,105,0.43165467625899284,0.30612244897959184,0.7317073170731707,30,68,11,251
margin,0.15,INT8,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.15,INT8,113,0.25641025641025644,0.15151515151515152,0.8333333333333334,5,28,1,174
margin,0.15,INT8,117,0.0,0.0,0.0,0,39,1,148
margin,0.15,INT8,121,0.07692307692307693,0.041666666666666664,0.5,1,23,1,181
margin,0.15,INT8,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.15,INT8,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.15,INT8,202,0.7096774193548386,0.6790123456790124,0.7432432432432432,55,26,19,208
margin,0.15,INT8,210,0.86784140969163,0.8312236286919831,0.9078341013824884,197,40,20,258
margin,0.15,INT8,212,0.0,0.0,0.0,0,0,0,269
margin,0.15,INT8,213,0.9384615384615386,0.8970588235294118,0.9838709677419355,244,28,4,283
margin,0.15,INT8,214,0.8268907563025211,0.7256637168141593,0.9609375,246,93,10,220
margin,0.15,INT8,219,0.267515923566879,0.1575,0.8873239436619719,63,337,8,210
margin,0.15,INT8,221,0.9826302729528535,0.9658536585365853,1.0,396,14,0,237
margin,0.15,INT8,222,0.48535564853556484,0.4312267657992565,0.5550239234449761,116,153,93,243
margin,0.15,INT8,228,0.9715832205683356,0.9598930481283422,0.9835616438356164,359,15,6,200
margin,0.15,INT8,231,0.16666666666666666,0.09523809523809523,0.6666666666666666,2,19,1,151
margin,0.15,INT8,232,0.034899328859060406,0.24074074074074073,0.01881331403762663,26,82,1356,173
margin,0.15,INT8,233,0.8876043673731535,0.9597222222222223,0.8255675029868578,691,29,146,301
margin,0.15,INT8,234,0.28125,0.8181818181818182,0.16981132075471697,9,2,44,270
margin,0.2,INT8,100,0.955223880597015,0.9696969696969697,0.9411764705882353,32,1,2,222
margin,0.2,INT8,103,0.0,0.0,0.0,0,0,2,203
margin,0.2,INT8,105,0.4411764705882353,0.3157894736842105,0.7317073170731707,30,65,11,251
margin,0.2,INT8,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.2,INT8,113,0.25641025641025644,0.15151515151515152,0.8333333333333334,5,28,1,174
margin,0.2,INT8,117,0.0,0.0,0.0,0,33,1,148
margin,0.2,INT8,121,0.07692307692307693,0.041666666666666664,0.5,1,23,1,181
margin,0.2,INT8,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.2,INT8,200,0.978067575577949,0.9915865384615384,0.9649122807017544,825,7,30,254
margin,0.2,INT8,202,0.7189542483660132,0.6962025316455697,0.7432432432432432,55,24,19,208
margin,0.2,INT8,210,0.869757174392936,0.8347457627118644,0.9078341013824884,197,39,20,258
margin,0.2,INT8,212,0.0,0.0,0.0,0,0,0,269
margin,0.2,INT8,213,0.9625246548323472,0.9420849420849421,0.9838709677419355,244,15,4,283
margin,0.2,INT8,214,0.8616462346760071,0.780952380952381,0.9609375,246,69,10,220
margin,0.2,INT8,219,0.2769230769230769,0.1640625,0.8873239436619719,63,321,8,210
margin,0.2,INT8,221,0.9826302729528535,0.9658536585365853,1.0,396,14,0,237
margin,0.2,INT8,222,0.47407407407407404,0.4897959183673469,0.45933014354066987,96,100,113,243
margin,0.2,INT8,228,0.9742198100407056,0.9650537634408602,0.9835616438356164,359,13,6,200
margin,0.2,INT8,231,0.16666666666666666,0.09523809523809523,0.6666666666666666,2,19,1,151
margin,0.2,INT8,232,0.031123139377537218,0.23958333333333334,0.016642547033285094,23,73,1359,173
margin,0.2,INT8,233,0.884514435695538,0.9810771470160117,0.8052568697729988,674,13,163,301
margin,0.2,INT8,234,0.28125,0.8181818181818182,0.16981132075471697,9,2,44,270
margin,0.25,INT8,100,0.955223880597015,0.9696969696969697,0.9411764705882353,32,1,2,222
margin,0.25,INT8,103,0.0,0.0,0.0,0,0,2,203
margin,0.25,INT8,105,0.45112781954887227,0.32608695652173914,0.7317073170731707,30,62,11,251
margin,0.25,INT8,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.25,INT8,113,0.25641025641025644,0.15151515151515152,0.8333333333333334,5,28,1,174
margin,0.25,INT8,117,0.0,0.0,0.0,0,31,1,148
margin,0.25,INT8,121,0.08,0.043478260869565216,0.5,1,22,1,181
margin,0.25,INT8,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.25,INT8,200,0.978067575577949,0.9915865384615384,0.9649122807017544,825,7,30,254
margin,0.25,INT8,202,0.7152317880794701,0.7012987012987013,0.7297297297297297,54,23,20,208
margin,0.25,INT8,210,0.8716814159292035,0.8382978723404255,0.9078341013824884,197,38,20,258
margin,0.25,INT8,212,0.0,0.0,0.0,0,0,0,269
margin,0.25,INT8,213,0.970178926441352,0.9568627450980393,0.9838709677419355,244,11,4,283
margin,0.25,INT8,214,0.8966789667896681,0.8496503496503497,0.94921875,243,43,13,220
margin,0.25,INT8,219,0.2818181818181818,0.16802168021680217,0.8732394366197183,62,307,9,210
